name,code
kernel32.dll,0
user32.dll,1
gdi32.dll,2
winspool.drv,3
shell32.dll,4
comctl32.dll,5
oledlg.dll,6
ole32.dll,7
oleaut32.dll,8
version.dll,9
wininet.dll,10
msvcrt.dll,11
ntdll.dll,12
msvbvm60.dll,13
advapi32.dll,14
mscoree.dll,15
ws2_32.dll,16
mswsock.dll,17
shlwapi.dll,18
comdlg32.dll,19
mpr.dll,20
psapi.dll,21
userenv.dll,22
winmm.dll,23
wsock32.dll,24
crypt32.dll,25
winhttp.dll,26
iphlpapi.dll,27
kernel32,28
gdiplus.dll,29
rpcrt4.dll,30
urlmon.dll,31
msorcl32.dll,32
crtdll.dll,33
msvcp60.dll,34
imagehlp.dll,35
wtsapi32.dll,36
els.dll,37
rasapi32.dll,38
ntoskrnl.exe,39
hal.dll,40
cmutil.dll,41
netapi32.dll,42
pdh.dll,43
msdtctm.dll,44
secur32.dll,45
vdmdbg.dll,46
cc3260.dll,47
stlp45.dll,48
lz32.dll,49
d3dx9_43.dll,50
imm32.dll,51
bdmskin.dll,52
bdlogicutils.dll,53
msvcp80.dll,54
msvcr80.dll,55
msvcr100.dll,56
msvcr71.dll,57
msctf.dll,58
msutb.dll,59
hge.dll,60
gameframe_hge.dll,61
guichan.dll,62
guichan_hge.dll,63
mfc71.dll,64
msvcp71.dll,65
crashrpt.dll,66
magic.dll,67
fmodex.dll,68
freetype.dll,69
msimg32.dll,70
oleacc.dll,71
avicap32.dll,72
msvfw32.dll,73
wintrust.dll,74
nddeapi.dll,75
hccutils.dll,76
atl.dll,77
certcli.dll,78
cryptui.dll,79
dciman32.dll,80
imm32,81
slc.dll,82
usp10.dll,83
uxtheme.dll,84
dwmapi.dll,85
mprapi.dll,86
activeds.dll,87
adsldpc.dll,88
cmpbk32.dll,89
mobsync.dll,90
rasman.dll,91
rasctrs.dll,92
raschap.dll,93
setupapi.dll,94
videoprt.sys,95
tdi.sys,96
ndis.sys,97
odbc32.dll,98
vsstrace.dll,99
vssapi.dll,100
credui.dll,101
dsprop.dll,102
clbcatq.dll,103
rasdlg.dll,104
tapi32.dll,105
msacm32.dll,106
shfolder.dll,107
ntdll,108
esent.dll,109
console.dll,110
crt.dll,111
msvcp100.dll,112
cabinet.dll,113
acledit.dll,114
hhctrl.ocx,115
olepro32.dll,116
mfc42.dll,117
dbghelp.dll,118
bmaframe.dll,119
channel.dll,120
libexpat.dll,121
msi.dll,122
kso10.dll,123
mfc71lu.dll,124
mslur71.dll,125
mqrt.dll,126
pstorec.dll,127
windowscodecs.dll,128
wlanapi.dll,129
qqmusiccommon_new.dll,130
fwpkclnt.sys,131
iedkcs32.dll,132
vbrun500.dll,133
avifil32.dll,134
wldap32.dll,135
ctl3d32.dll,136
mfc42u.dll,137
i18n.dll,138
clusapi.dll,139
dmutil.dll,140
osuninst.dll,141
api-ms-win-core-debug-l1-1-0.dll,142
api-ms-win-core-errorhandling-l1-1-0.dll,143
api-ms-win-core-handle-l1-1-0.dll,144
api-ms-win-core-heap-l1-1-0.dll,145
api-ms-win-core-interlocked-l1-1-0.dll,146
api-ms-win-core-libraryloader-l1-1-0.dll,147
api-ms-win-core-misc-l1-1-0.dll,148
api-ms-win-core-processenvironment-l1-1-0.dll,149
api-ms-win-core-processthreads-l1-1-0.dll,150
api-ms-win-core-profile-l1-1-0.dll,151
api-ms-win-core-synch-l1-1-0.dll,152
api-ms-win-core-sysinfo-l1-1-0.dll,153
api-ms-win-security-base-l1-1-0.dll,154
mmdevapi.dll,155
sfc_os.dll,156
ulib.dll,157
ifsutil.dll,158
query.dll,159
newdev.dll,160
scecli.dll,161
wiashext.dll,162
wevtapi.dll,163
dmocx.dll,164
webengine.dll,165
shdocvw.dll,166
hid.dll,167
eventcls.dll,168
davclnt.dll,169
olecli32.dll,170
jli.dll,171
riched20.dll,172
sqlunirl.dll,173
opengl32.dll,174
perfos.dll,175
msvcr120.dll,176
qqmusiccommon.dll,177
exceptcatch.dll,178
atl80.dll,179
nssutil3.dll,180
plc4.dll,181
nspr4.dll,182
mozcrt19.dll,183
dbnmpntw.dll,184
tinyxml.dll,185
api-ms-win-core-file-l1-1-0.dll,186
api-ms-win-core-io-l1-1-0.dll,187
api-ms-win-core-localregistry-l1-1-0.dll,188
api-ms-win-core-memory-l1-1-0.dll,189
api-ms-win-core-string-l1-1-0.dll,190
dnsapi.dll,191
dpnet.dll,192
hhsetup.dll,193
rastapi.dll,194
dsound.dll,195
browseui.dll,196
msvcirt.dll,197
mfc42,198
msvidc32.dll,199
ntdsapi.dll,200
powrprof.dll,201
cards.dll,202
dot3msm.dll,203
rasser.dll,204
d3d9.dll,205
ter32.dll,206
dinput.dll,207
winsta.dll,208
mtxdm.dll,209
bdnetdll.dll,210
imezlib.dll,211
imepng.dll,212
msvcp110.dll,213
msvcr110.dll,214
imefreetype.dll,215
lprhelp.dll,216
wbemcomn.dll,217
fastprox.dll,218
ncobjapi.dll,219
framedyn.dll,220
gdi32,221
mscms.dll,222
pift.dll,223
pifd.dll,224
thumbnailview.dll,225
epplibrary.dll,226
mfc80.dll,227
common.dll,228
asynctask.dll,229
msdart.dll,230
regapi.dll,231
dbserv10.dll,232
1394bus.sys,233
wmilib.sys,234
url.dll,235
traffic.dll,236
updspapi.dll,237
storport.sys,238
advpack.dll,239
wmdmlog.dll,240
odbcbcp.dll,241
msvcm80.dll,242
hpminstallactions.dll,243
customactiondata.dll,244
user32,245
wintrust,246
kernel32.dllz,247
msvcrt.dllz,248
utildll.dll,249
ltkrn13n.dll,250
ltdis13n.dll,251
gpedit.dll,252
libjpegdll.dll,253
mfc71u.dll,254
polstore.dll,255
mfcsubs.dll,256
custsat.dll,257
wncdclg32.dll,258
artpclnt.dll,259
patchw32.dll,260
qt5core.dll,261
msvcp120.dll,262
icudt34.dll,263
cygwin1.dll,264
cygintl-8.dll,265
mstlsapi.dll,266
psbase.dll,267
pautoenr.dll,268
ndfapi.dll,269
mqqm.dll,270
libcef.dll,271
sfc.dll,272
bcrypt.dll,273
efsutil.dll,274
glide2x.dll,275
samlib.dll,276
sqlite3.dll,277
plds4.dll,278
fmifs.dll,279
w32topl.dll,280
dmdskmgr.dll,281
amf-core-windesktop32.dll,282
msls31.dll,283
msswch.dll,284
wmsgapi.dll,285
duser.dll,286
wmdrmsdk.dll,287
aucommon.dll,288
mfc80u.dll,289
ws_log.dll,290
demuxmgr.dll,291
decodermgr.dll,292
mediainfo.dll,293
iertutil.dll,294
ieframe.dll,295
wessys.dll,296
resource.dll,297
mfc70.dll,298
msvcr70.dll,299
dbgeng.dll,300
msvcp90.dll,301
kwlib.dll,302
kwmodconfig.dll,303
kwlog.dll,304
msvcr90.dll,305
utl60.dll,306
uat60.dll,307
uiw60.dll,308
mmv60.dll,309
mms60.dll,310
mmi60.dll,311
mmw60.dll,312
nlsrtl33.dll,313
dwutility.dll,314
dwbase.dll,315
dwrite.dll,316
thumbs   .db,317
ntwdblib.dll,318
cmdial32.dll,319
xprt5.dll,320
wmmutil.dll,321
netshell.dll,322
xolehlp.dll,323
wer.dll,324
d3dramp.dll,325
advres.dll,326
taglist.dll,327
memlist.dll,328
mfc42d.dll,329
msvcrtd.dll,330
mfco42d.dll,331
xt4100libd.dll,332
msvcp60d.dll,333
nnotes.dll,334
iernonce.dll,335
cscomp.dll,336
devenum.dll,337
feclient.dll,338
msftedit.dll,339
msasn1.dll,340
difxapi.dll,341
fverecover.dll,342
d3dx9_24.dll,343
sgcore.dll,344
cmvctrl.dll,345
baseutils.dll,346
psmesh.dll,347
dsetup.dll,348
dinput8.dll,349
msvbvm60,350
hpzjia.dll,351
npptools.dll,352
skincontrolsd.dll,353
mfc71d.dll,354
msvcr71d.dll,355
msvcp71d.dll,356
sensapi.dll,357
api-ms-win-core-com-l1-1-0.dll,358
dui70.dll,359
icmp.dll,360
quartz.dll,361
mmcndmgr.dll,362
mfc90.dll,363
untfs.dll,364
fontsub.dll,365
fontext.dll,366
onex.dll,367
ole32,368
advapi32,369
mag_hook.dll,370
qt5gui.dll,371
msoeacct.dll,372
msnetobj.dll,373
cewmdm.dll,374
msltus40.dll,375
msoert2.dll,376
storm.dll,377
fog.dll,378
d2sound.dll,379
d2cmp.dll,380
smackw32.dll,381
binkw32.dll,382
glide3x.dll,383
cryptsvc.dll,384
xmlprovi.dll,385
narrhook.dll,386
getuname.dll,387
asycfilt.dll,388
netrap.dll,389
xlue.dll,390
xlgraphic.dll,391
xlluaruntime.dll,392
xlfsio.dll,393
xlgraphicplus.dll,394
cares.dll,395
win32shell.dll,396
atl90.dll,397
snmpapi.dll,398
glu32.dll,399
migism.dll,400
log.dll,401
iaspolcy.dll,402
msvcrt40.dll,403
opengl32,404
jvsdkp.dll,405
comres.dll,406
api-ms-win-service-management-l1-1-0.dll,407
plotcfg9.dll,408
plcfmgr.dll,409
heidi9.dll,410
hcreg9.dll,411
apperr.dll,412
styedit.dll,413
userdata.dll,414
color.dll,415
adui17.dll,416
xul.dll,417
xpcom.dll,418
cwbcore.dll,419
cwbdbfmt.dll,420
ace.dll,421
agm.dll,422
bib.dll,423
cooltype.dll,424
bdeui.dll,425
dplayx.dll,426
mshtml.dll,427
xinput9_1_0.dll,428
sqlite.dll,429
roxbaseclass.dll,430
fs2you.dll,431
wshcon.dll,432
qmgrprxy.dll,433
netman.dll,434
dhcpcsvc.dll,435
msvcr80d.dll,436
msvcp80d.dll,437
odbctrac.dll,438
cnvsshrd.dll,439
micore.dll,440
msnmetal.dll,441
tier0.dll,442
vstdlib.dll,443
ssleay32.dll,444
libintl-8.dll,445
libpq.dll,446
qqplayer.dll,447
rsaenh.dll,448
mkzlib.dll,449
mkunicode.dll,450
sppcommdlg.dll,451
winbrand.dll,452
scnpst32.dll,453
scnpst64.dll,454
stlang.dll,455
oleaut32,456
uniansi.dll,457
wiadss.dll,458
iphlpapi,459
msvcrt,460
setupapi,461
stclient.dll,462
timedate.cpl,463
ntmsapi.dll,464
syssetup.dll,465
objectfactory.dll,466
rtutils.dll,467
mfc42u,468
api-ms-win-core-console-l1-1-0.dll,469
api-ms-win-core-datetime-l1-1-0.dll,470
api-ms-win-core-localization-l1-1-0.dll,471
ktmw32.dll,472
gamedev2009.dll,473
gamedev.dll,474
schannel.dll,475
2denginedll.dll,476
dot3gpclnt.dll,477
core.dll,478
tcskin.dll,479
zlib1.dll,480
cximagecrt.dll,481
oleacc,482
mf.dll,483
mfplat.dll,484
d3dim.dll,485
api-ms-win-service-core-l1-1-0.dll,486
api-ms-win-service-winsvc-l1-1-0.dll,487
api-ms-win-service-management-l2-1-0.dll,488
api-ms-win-security-sddl-l1-1-0.dll,489
sspicli.dll,490
authz.dll,491
aclui.dll,492
clb.dll,493
libcurl.dll,494
normaliz.dll,495
sisbkup.dll,496
svchost.exe,497
ism.dll,498
autocrop.dll,499
vdsutil.dll,500
libapr-1.dll,501
libaprutil-1.dll,502
libhttpd.dll,503
setupdev.dll,504
qt5network.dll,505
libgcc_s_dw2-1.dll,506
libstdc++-6.dll,507
mqutil.dll,508
msvcrt.dll ,509
nwprovau.dll,510
nwapi32.dll,511
minizip.dll,512
shell32,513
ws2_32,514
msvcp60,515
wtsapi32,516
msvfw32,517
netapi32,518
psapi,519
wininet,520
eappprxy.dll,521
container.dll,522
isaputrace.dll,523
skinmagicu.dll,524
aslfoundation.dll,525
prm.dll,526
bravoinitializer.dll,527
adobepsl.dll,528
imagerenderer.dll,529
dvacore.dll,530
security.dll,531
olesvr32.dll,532
tcpmonui.dll,533
resutils.dll,534
mapistub.dll,535
hypertrm.dll,536
panmap.dll,537
wavemsp.dll,538
wpcap.dll,539
packet.dll,540
ntshrui.dll,541
wshtcpip.dll,542
ipsmsnap.dll,543
filemgmt.dll,544
pncrt.dll,545
netprojw.dll,546
winscard.dll,547
wmdmps.dll,548
ati_compress_wrapper.dll,549
appwiz.cpl,550
dxva2.dll,551
filter.dll,552
ntlsapi.dll,553
ctfmon.exe,554
winstrm.dll,555
usrrtosa.dll,556
usrdtea.dll,557
platform.dll,558
file.dll,559
logger.dll,560
d3d8.dll,561
msvbvm50.dll,562
cfgbkend.dll,563
logtransport2.dll,564
cmcfg32.dll,565
