name,code
.text,1
.data,2
.rsrc,3
.reloc,4
.idata,5
.pdata,6
.bss,7
.rdata,8
.rrdata,9
rdata,10
.vmp0,11
dvray,12
.data1,13
.xur,14
UPX0,15
UPX1,16
.aspack,17
.brdata,18
.kdata,19
.ndata,20
.data2,21
.tls,22
.tc,23
CODE,24
DATA,25
BSS,26
ibyqyajq,27
iaqjjrrz,28
ribyqabi,29
jrazyiya,30
rsrc,31
code,32
text,33
.nwcx,34
INIT,35
.codet,36
.code1,37
.code2,38
whmqabk,39
.PUPX1,40
.tsuarch,41
tuwdtza,42
.heb,43
.idata2,44
.sbss,45
.yvs,46
.edata,47
.taz,48
UPX2,49
.vmp2,50
nxszsic,51
.vmp1,52
.code,53
.loader,54
.packed,55
alenswo,56
\xf5P\xb2\xa3u\xd9,57
.MPRESS2,58
.MPRESS1,59
E-DOC,60
yyrvtlr,61
.gda	,62
.xdata,63
.prix,64
xdybngk,65
.itext,66
wovrfex,67
..,68
.textbss,69
PAGEWMI,70
PAGEDRV,71
.UPX0,72
.hdata,73
.zdata,74
.uro	,75
.adata,76
aftcntg,77
ExeS,78
\x92/\xad,79
qwggyqs,80
.tqn,81
RDATA,82
GLOBAL,83
.Silvana,84
.cacbeb,85
.Bustor,86
.Fopsen,87
.Howe,88
budbyyk,89
.55,90
.aa,91
.mjg,92
.Tide,93
.psikif,94
.Much,95
BitArts,96
s1!,97
.SHIMDAT,98
.oli,99
.data3,100
ctdu,101
nksvypl,102
.qnk	,103
aumgnzn,104
zoitxld,105
SEC,106
.petite,107
,14539
.text1,109
zapbiam,110
MyHotWor,111
.t,112
.didata,113
.5rdata,114
jfirquv,115
4,116
gueyfwh,117
a,118
.zrdata,119
aqjjrrzq,121
yjaaariz,122
jrqjybar,123
ijjaqyqi,124
mNaC4076,125
CLetbbjw,126
.ifc,128
.0x763A,129
.0xCA21,130
.0x23F1,131
.0x45EA,132
mfkfhbb,133
hnopbzr,134
.data_1,135
xfqigmk,136
.ckp,137
